ID,SQ,SG,sex,group,BM,BH,SH,CA,dAPHV,APHV,0-10m,10-30m,0-30m,30-60m,0-60m,FOST,TH,CMJ,DJ,12MR,FJT,SUs,SUb
968,NK2,0,f,J,50.6,173,87.5,15.76,3.18,12.58,1.69,2.47,4.16,3.53,7.72,11.36,8.71,42.5,1.54,2815,16.14,7,
974,LK,0,f,J,59.5,175.5,89.5,14.05,2.46,11.59,,,4.48,3.63,8.11,11.8,6.89,,1.66,2520,14.46,,
975,LK,0,m,J,78,185,97,14.35,1.99,12.36,1.69,2.47,4.16,3.43,7.59,15.25,7.38,44.9,1.52,2805,17.1,,12
979,LK,0,m,J,66,189,95,14.48,1.65,12.83,1.71,2.46,4.17,3.54,7.71,10.25,9.52,41.5,1.33,2350,15.76,,5
983,LK,0,f,J,67,168.3,92.1,15.08,2.96,12.12,1.84,2.66,4.58,3.84,8.46,11.87,7.41,39.5,1.46,,13.35,,
985,LK,0,f,J,63.2,168,91.5,15.75,3.26,12.49,,,,,,11.43,8.3,38.9,,2400,,9,
986,LK,0,f,J,57.3,157,81,14.08,1.46,12.62,1.9,2.64,4.56,3.81,8.37,12,7.33,36.3,1.73,2240,14.11,15,6
987,LK,0,f,J,49.5,173,91,15.14,3.02,12.13,1.71,2.47,4.18,3.65,7.83,10.06,8.72,43.3,1.88,2270,15.65,,11
988,LK,1,m,J,67.4,193,100,16.33,3.34,12.99,1.7,2.44,4.14,3.47,7.61,14.4,10.06,46.4,2.22,2875,16.4,,17
991,LK,0,m,J,65.5,191.5,94,15.78,2.18,13.61,1.64,2.47,4.11,3.58,7.69,13.08,9.55,48.7,1.88,2550,15.16,,
996,LK,0,f,J,62.5,170,92,15.94,3.46,12.48,1.79,2.75,4.54,4.11,8.65,10.94,7.73,40.13,1.2,2570,13.15,,12
997,LK,0,f,J,58.9,179,91,13.64,2.42,11.22,1.69,2.55,4.3,3.71,8.01,11.71,8.55,45.5,1.54,2210,15.14,3,
999,LK,0,f,J,56,168.5,90,14.73,2.6,12.12,,,4.51,3.8,8.31,12.4,6.51,,1.76,2800,14.45,,
1001,NK2,2,m,J,69.6,183.4,94,15.36,2.05,13.32,,,4.33,3.46,7.79,11.93,,48.7,1.71,,,,17
1003,NK1,3,m,J,63,173,90,15.38,1.49,13.89,1.65,2.26,3.91,3.22,7.13,,,,,,,20,
1005,LK,0,f,J,62.8,173,91,14.4,2.67,11.73,1.75,2.58,4.34,3.69,8.05,10.31,8.4,42.4,1.62,,14.52,,11.5
1010,LK,0,f,J,47.3,170,90,14.21,2.3,11.9,1.7,2.51,4.21,3.68,7.89,10.7,8.78,40.2,2.09,,16.35,22,
1013,LK,0,f,J,60.8,179,93,17.05,4.47,12.57,1.76,2.66,4.48,3.91,8.39,12.53,8.24,38.2,1.55,2400,14.64,,
1014,LK,0,f,J,55,163,86,15.32,2.52,12.8,1.89,2.6,4.49,3.68,8.17,11.3,,39.59,1.85,,,,
1017,LK,0,m,J,65.2,183,94,14.34,1.45,12.89,1.68,2.25,3.94,3.12,7.06,11.05,9.18,47.7,2,2700,17.39,13,3
1019,LK,0,f,J,61,171,89,14.07,2.31,11.76,1.83,2.62,4.45,3.72,8.17,11.65,8.69,37.2,1.64,2550,15.15,,
1021,LK,0,f,J,56.5,170,90,14.75,2.67,12.08,1.8,2.81,4.62,4.06,8.71,11.71,6.98,35.1,1.46,2400,12.38,,
1025,NK1,3,f,J,66,183,94,18.44,5.47,12.97,1.77,2.6,4.37,3.72,8.09,13.48,8.49,42,1.96,,15.43,,12
1032,LK,0,m,J,62,186,90,15.4,1.41,13.99,1.75,2.46,4.21,3.51,7.72,,,,,,,9,
1034,LK,1,f,J,54.2,174,90.8,15.71,3.39,12.32,1.75,2.6,4.38,3.85,8.25,10.37,6.82,,1.52,,14.16,,3
1035,LK,0,f,J,62,177,92,14.71,3.02,11.69,1.86,2.63,4.53,3.84,8.37,13.8,7.5,40.3,1.89,2570,13.75,,
1036,LK,0,f,J,67,168,93,16.53,3.77,12.76,1.86,2.57,4.44,3.5,7.94,11.2,8.45,40.7,1.42,2400,14.4,6,16
1039,LK,0,m,J,74.1,189,96,15.37,2.35,13.02,1.69,2.38,4.07,3.33,7.43,14.23,10.33,51,2.06,2460,18.05,7,
1040,LK,0,f,J,62,170.5,88,14.82,2.65,12.17,,,4.44,3.62,8.06,10.8,6.39,,1.87,2380,14.29,,
1041,NK1,3,m,J,82,190,97,18.16,4.1,14.06,,,,2.93,,19.85,,69.9,2.25,,,28,
1043,LK,0,m,J,60.8,180,93,15.7,1.99,13.71,1.69,2.46,4.15,3.57,7.76,11.76,10.43,56,1.56,2500,18.38,7,
1044,LK,1,f,J,53.9,171,91,17.85,4.49,13.36,,,,,,10.7,8.98,,,2470,14.6,9,
1045,LK,0,f,J,64.1,177,90,14.43,2.77,11.66,1.8,2.62,4.42,3.73,8.15,11.91,7.92,41.5,1.79,2510,14.36,3,
1046,LK,0,f,J,58.2,169,91,14,2.28,11.71,1.81,2.65,4.46,3.86,8.32,10.82,8.58,37.2,1.81,2500,14.73,,19
1049,LK,0,f,J,51.8,170.5,89,13.77,2.06,11.71,1.66,2.5,4.17,3.56,7.77,10.93,8.99,37.21,1.88,2490,15.63,7,
1053,NK1,3,m,J,65.1,180,95,15.64,2.29,13.35,1.61,2.19,3.8,3.11,6.91,16.1,,72.5,2.75,,17.93,15,
1057,LK,0,f,J,66,180,91,15.62,3.59,12.03,1.78,2.69,4.38,3.74,8.12,14.11,9.3,39.6,1.58,2770,15.6,5,
1059,NK2,2,m,J,63.6,179.9,96.3,15.5,2.37,13.13,,,4.18,3.29,7.47,14.68,,50.1,2.51,,,,10
1062,LK,0,m,J,56.7,172.5,88,15.07,0.98,14.09,1.57,2.35,3.92,3.27,7.2,13.25,9.72,54.5,2.07,3010,16.8,,17
1065,LK,0,f,J,51,169,89,15.04,2.71,12.33,1.84,2.55,4.39,3.71,8.1,,9.12,39,1.78,2500,15.83,14,
1071,LK,0,m,J,66.6,183,94,14.38,1.49,12.89,1.61,2.38,4,3.39,7.39,12.03,9.49,45.9,1.83,2820,15.6,2,
1074,LK,1,f,J,62.9,180.1,92.9,16.09,3.96,12.13,1.97,2.97,4.94,4.44,9.38,10.36,6.11,,1.22,,12.88,,4
1075,LK,1,m,J,60,186,96,15.88,2.47,13.41,1.66,2.38,4.07,3.39,7.46,13.54,6.98,48.1,1.82,,16.41,,
1078,NK1,3,f,J,65.3,173,90,15.65,3.3,12.35,,,4.11,3.48,7.59,13.3,,,1.97,2450,14.75,,
1079,NK2,2,f,J,59,172.4,90.8,15.63,3.3,12.34,,,4.39,3.65,8.04,13.27,,43.3,2.15,,,,8
1080,LK,0,f,J,55,168,88,14.58,2.39,12.18,1.59,2.53,4.15,3.61,7.77,11.29,7.85,41,1.7,2930,14.21,18,
1081,LK,1,f,J,69.9,180,94,17.44,4.77,12.67,1.79,2.6,4.39,3.77,8.16,12.35,8.61,42.2,1.97,2200,15.18,,3
1082,NK2,0,m,J,67.3,184,97,14.77,2.09,12.68,1.68,2.42,4.1,3.42,7.51,,9.63,55.9,2.41,2910,16.05,17,
1084,LK,0,f,J,53.1,168,90,15.79,3.16,12.63,1.7,2.6,4.3,3.82,8.14,10.98,9.11,35,1.43,2700,15.58,7,
1086,LK,0,f,J,59,168,88,15.92,3.14,12.78,1.86,2.66,4.52,3.89,8.41,11.2,,39.35,1.52,,,20,
1087,LK,0,f,J,55.8,170.5,87.5,14.13,2.22,11.92,1.85,2.58,4.43,3.68,8.11,9.4,8.21,42.4,1.41,2720,14.3,3,
1089,LK,0,f,J,42.8,161.5,85,13.98,1.59,12.39,1.85,2.92,4.77,4.36,9.13,8.6,7.26,27.89,1.36,2300,13.82,5,8
1090,LK,0,f,J,64.7,166,88,15.14,2.69,12.45,1.81,2.59,4.42,3.75,8.18,11.55,8.73,37.5,2.04,2450,14.3,,10
1093,LK,0,f,J,57,177,94,15.73,3.7,12.04,1.85,2.63,4.48,3.81,8.29,11.79,9.4,39,1.53,2530,15.9,4,
1094,LK,0,f,J,67.5,178.5,92.5,17.65,4.74,12.91,,,,,,13.97,,47.8,,2520,,13,
1099,LK,0,f,J,65.2,180.5,92.2,15.46,3.59,11.88,1.85,2.55,4.4,3.67,8.07,12,8.55,39.4,,2530,15.5,4,
1102,LK,0,f,J,64.1,171,91,14.25,2.53,11.72,1.71,2.55,4.26,3.73,8,11.3,7.31,43.1,1.57,2410,14.25,3,6.5
1105,NK1,3,m,J,71.1,181,88,16.64,1.87,14.77,1.71,2.29,4,3.22,7.23,15.05,12.63,58.4,2.15,,19.6,14,11
1106,LK,0,m,J,53,176,88,14.43,0.6,13.83,1.76,2.54,4.3,3.73,8.03,11.2,8.05,50,1.79,,15.46,12,2
1108,LK,1,f,J,66.5,166,87,17.28,3.73,13.55,,,,,,14.85,,54.2,2.11,2600,16.85,23,
1109,LK,0,f,J,54.4,163,84.5,17.05,3.34,13.72,1.75,2.59,4.34,3.87,8.21,12,7.39,41,1.49,,13.81,20,
1112,LK,0,f,J,63.4,170,92,15.2,3.06,12.14,1.74,2.47,4.24,3.61,7.86,12.77,8.81,45,1.92,2215,14.93,6,
1113,LK,0,f,J,59.7,172.5,90,13.95,2.34,11.61,1.88,2.69,4.57,3.88,8.48,9.86,7.64,34,1.37,2660,13.1,4,
1115,NK2,0,m,J,56,164,89,13.91,0.55,13.36,1.69,2.5,4.2,3.54,7.74,11.15,8.23,53.7,2.18,2500,15.68,,16.5
1116,LK,0,f,J,57.5,171,91,15.09,2.95,12.14,1.73,2.52,4.25,3.74,7.99,11.15,8.18,42.7,2.07,2460,13.79,,6
