"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"120","m",0.590050568900127,-0.0232174029186946,0.0265546374844019,700.495977048393,-0.0753536178087762,0.0289188119713871,"DJ"
"121","f",1.59005056890013,-0.0852135126093332,0.0402438829266238,731.217045937184,-0.164220848785204,-0.00620617643346257,"DJ"
"122","m",1.59005056890013,-0.0580943339121776,0.0358549234670756,680.640428159785,-0.128493878330653,0.0123052105062978,"DJ"
"123","f",2.59005056890013,-0.104989878247331,0.0566254418671328,714.305131953904,-0.216162076710433,0.00618232021577062,"DJ"
"124","m",2.59005056890013,-0.0929712649056606,0.052695359512917,575.958860361638,-0.196469763498579,0.0105272336872578,"DJ"
"125","f",3.59005056890013,-0.12476624388533,0.0744114245992339,700.708438084612,-0.270862306750558,0.0213298189798992,"DJ"
"126","m",3.59005056890013,-0.127848195899144,0.0719640528599189,536.495444826433,-0.269214064642434,0.0135176728441463,"DJ"
"127","f",-2.40994943109987,-0.0792202550857781,0.0279396446179936,555.98335963414,-0.13410042075353,-0.0243400894180263,"12MR"
"128","m",-2.40994943109987,-0.0480481470616519,0.0364478092169247,495.672334642957,-0.119659397917467,0.0235631037941631,"12MR"
"129","f",-1.40994943109987,-0.0546980937325729,0.01924770867871,556.787822484728,-0.0925050925678307,-0.0168910948973151,"12MR"
"130","m",-1.40994943109987,-0.0353723126498239,0.025955104477631,528.592623162455,-0.0863601292124197,0.015615503912772,"12MR"
"131","f",-0.409949431099873,-0.0301759323793678,0.0137594854625037,519.72893898744,-0.0572069766942068,-0.00314488806452874,"12MR"
"132","m",-0.409949431099873,-0.0226964782379958,0.0174161918964279,557.163652656373,-0.0569058997430592,0.0115129432670676,"12MR"
"133","f",0.590050568900127,-0.00565377102616265,0.0154003634313243,528.961821601969,-0.0359071513806928,0.0245996093283675,"12MR"
"134","m",0.590050568900127,-0.0100206438261678,0.0147448862965679,538.500459648481,-0.0389851897446582,0.0189439020923227,"12MR"
"135","f",1.59005056890013,0.0188683903270424,0.0226719551484328,556.141439973021,-0.0256647417159671,0.063401522370052,"12MR"
"136","m",1.59005056890013,0.00265519058566028,0.0203943924553119,542.640698050478,-0.0374064384274148,0.0427168195987353,"12MR"
